CNVD-2019-16265,https://www.cnvd.org.cn/flaw/show/CNVD-2019-16265,2019-06-03,高AV:N/AC:L/Au:N/C:C/I:C/A:C,CVE-2019-10850,Computrols CBAS信任管理问题漏洞,Computrols CBAS Web 18.0.0;,Computrols CBAS是美国Computrols公司的一套楼宇自动化系统。Computrols CBAS 18.0.0版本中存在信任管理问题漏洞，该漏洞源于程序使用了默认的凭证，攻击者可利用该漏洞扫描整个IPv4网络。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-10850,厂商已发布了漏洞修复程序，请及时关注更新：http://www.computrols.com/
CNVD-2014-01260,https://www.cnvd.org.cn/flaw/show/CNVD-2014-01260,2014-02-26,高AV:N/AC:L/Au:N/C:P/I:P/A:P,Null,Linksys多个E系列路由器存在多个安全绕过漏洞,Cisco Linksys E4200;Cisco Linksys EA4500;Cisco Linksys EA3500;Cisco Linksys EA2700;Cisco Linksys E1000;Cisco Linksys E2100L;Cisco Linksys E1500;Cisco Linksys E2500;Cisco Linksys E2500  1.0.03 build 4;Cisco Linksys E1550;Cisco Linksys E1200;Cisco Linksys E3200;Cisco Linksys E3000;Cisco Linksys E2000;Cisco Linksys E900;,Linksys E系列路由器是流行的路由器设备。多个Linksys E系列路由器存在多个安全漏洞，允许恶意用户绕过部分安全限制：1，设备未能正确限制对tmUnblock.cgi和hndUnblock.cgi的访问，允许攻击者利用漏洞注入和执行任意shell命令。2，设备未能正确限制对访问控制台的访问，允许攻击者通过TCP 8083端口来访问受限功能。,通用型漏洞,http://osvdb.org/show/osvdb/103321,目前没有详细解决方案提供：http://support.linksys.com/en-eu/support/routers/E4200
CNVD-2019-15664,https://www.cnvd.org.cn/flaw/show/CNVD-2019-15664,2019-05-28,中AV:N/AC:M/Au:N/C:N/I:P/A:N,CVE-2019-10846,Computrols CBAS Web跨站脚本漏洞,Computrols CBAS Web <19.0.1;Computrols CBAS Web <18.0.1;Computrols CBAS Web <15.0.1;Computrols CBAS Web <14.0.1;Computrols CBAS Web <8.0.7;Computrols CBAS Web <7.2.1-Beta;Computrols CBAS Web <6.9.2;Computrols CBAS Web <4.8.2;Computrols CBAS Web <3.15.1;,Computrols CBAS是美国Computrols公司的一套楼宇自动化系统。Computrols CBAS Web中存在跨站脚本漏洞。该漏洞源于WEB应用缺少对客户端数据的正确验证。攻击者可利用该漏洞执行客户端代码。,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2019-10846/,目前厂商已发布升级补丁以修复漏洞，详情请关注厂商主页：http://www.computrols.com/
CNVD-2019-14618,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14618,2019-05-17,高AV:L/AC:L/Au:N/C:C/I:C/A:C,CVE-2019-1782,Cisco FXOS和NX-OS命令注入漏洞（CNVD-2019-14618）,Cisco NX-OS;Cisco FXOS;,Cisco FXOS是Firepower可扩展操作系统。Cisco NX-OS是适用于思科Nexus系列以太网交换机和MDS系列光纤通道存储区域网络交换机的网络操作系统。Cisco FXOS和NX-OS的CLI存在命令注入漏洞。该漏洞源于对传递给某些CLI命令的参数未进行充分验证。本地认证攻击者可利用该漏洞以提升的权限在底层操作系统上执行任意命令。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-1782,厂商已发布漏洞修复程序，请及时关注更新：https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190515-fxos-nxos-cmdinj-1781-1782
CNVD-2019-14620,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14620,2019-05-17,高AV:L/AC:L/Au:N/C:C/I:C/A:C,CVE-2019-1784,Cisco NX-OS命令注入漏洞（CNVD-2019-14620）,Cisco NX-OS;,Cisco NX-OS是适用于思科Nexus系列以太网交换机和MDS系列光纤通道存储区域网络交换机的网络操作系统。Cisco NX-OS的CLI存在命令注入漏洞。该漏洞源于对传递给特定CLI命令的参数未进行充分验证。本地认证攻击者可利用该漏洞以root权限级别在底层Linux操作系统上执行任意命令。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-1784,厂商已发布漏洞修复程序，请及时关注更新：https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190515-nxos-cmd-inject-1784
CNVD-2019-14621,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14621,2019-05-17,高AV:L/AC:L/Au:N/C:C/I:C/A:C,CVE-2019-1790,Cisco NX-OS命令注入漏洞（CNVD-2019-14621）,Cisco NX-OS;,Cisco NX-OS是适用于思科Nexus系列以太网交换机和MDS系列光纤通道存储区域网络交换机的网络操作系统。Cisco NX-OS的CLI存在命令注入漏洞。该漏洞源于对传递给某些CLI命令的参数未进行充分验证。具有有效的管理员凭据的本地攻击者可利用该漏洞以提升的权限在底层操作系统上执行任意命令。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-1790,厂商已发布漏洞修复程序，请及时关注更新：https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190515-nxos-cmdinj-1790
CNVD-2019-14619,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14619,2019-05-17,高AV:L/AC:L/Au:N/C:C/I:C/A:C,CVE-2019-1783,Cisco NX-OS命令注入漏洞（CNVD-2019-14619 ）,Cisco NX-OS;,Cisco NX-OS是适用于思科Nexus系列以太网交换机和MDS系列光纤通道存储区域网络交换机的网络操作系统。Cisco NX-OS的CLI存在命令注入漏洞。该漏洞源于对传递给特定CLI命令的参数未进行充分验证。具有管理员凭据的本地认证攻击者可利用该漏洞以root权限级别在底层Linux操作系统上执行任意命令。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-1783,厂商已发布漏洞修复程序，请及时关注更新：https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190515-nxos-cmdinj-1783
CNVD-2019-14617,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14617,2019-05-17,高AV:L/AC:L/Au:N/C:C/I:C/A:C,CVE-2019-1781,Cisco FXOS和NX-OS命令注入漏洞（CNVD-2019-14617）,Cisco NX-OS;Cisco FXOS;,Cisco FXOS是Firepower可扩展操作系统。Cisco NX-OS是适用于思科Nexus系列以太网交换机和MDS系列光纤通道存储区域网络交换机的网络操作系统。Cisco FXOS和NX-OS的CLI存在命令注入漏洞。该漏洞源于对传递给某些CLI命令的参数未进行充分验证。本地认证攻击者可利用该漏洞以提升的权限在底层操作系统上执行任意命令。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-1781,厂商已发布漏洞修复程序，请及时关注更新：https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190515-fxos-nxos-cmdinj-1781-1782
CNVD-2019-14616,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14616,2019-05-17,高AV:L/AC:L/Au:N/C:C/I:C/A:C,CVE-2019-1779,Cisco FXOS和NX-OS命令注入漏洞（CNVD-2019-14616）,Cisco NX-OS;Cisco FXOS;,Cisco FXOS是Firepower可扩展操作系统。Cisco NX-OS是适用于思科Nexus系列以太网交换机和MDS系列光纤通道存储区域网络交换机的网络操作系统。Cisco FXOS和NX-OS的CLI存在命令注入漏洞。该漏洞源于对传递给某些CLI命令的参数未进行充分验证。本地认证攻击者可利用该漏洞以提升的权限在底层操作系统上执行任意命令。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-1779,厂商已发布漏洞修复程序，请及时关注更新：https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190515-nxos-fxos-cmdinj-1779
CNVD-2019-14615,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14615,2019-05-17,高AV:L/AC:L/Au:N/C:C/I:C/A:C,CVE-2019-1778,Cisco NX-OS命令注入漏洞（CNVD-2019-14615）,Cisco NX-OS;,Cisco NX-OS是适用于思科Nexus系列以太网交换机和MDS系列光纤通道存储区域网络交换机的网络操作系统。Cisco NX-OS的CLI存在命令注入漏洞。该漏洞源于对传递给特定CLI命令的参数未进行充分验证。具有管理员凭据的本地认证攻击者可利用该漏洞以root权限级别在底层Linux操作系统上执行任意命令。,通用型漏洞,https://web.nvd.nist.gov//vuln/detail/CVE-2019-1778,厂商已发布漏洞修复程序，请及时关注更新：https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190515-nxos-cmdinj-1778
